Temperature (C),Humidity,month
9.472222222,0.89,3
9.355555556,0.86,3
9.377777778,0.89,4
8.288888889,0.83,4
8.755555556,0.83,4
9.222222222,0.85,4
7.733333333,0.95,4
8.772222222,0.89,4
10.82222222,0.82,4
13.77222222,0.72,4
16.01666667,0.67,4
17.14444444,0.54,4
17.8,0.55,4
17.33333333,0.51,4
18.87777778,0.47,4
18.91111111,0.46,4
15.38888889,0.6,4
15.55,0.63,4
14.25555556,0.69,4
13.14444444,0.7,4
11.55,0.77,4
11.18333333,0.76,4
10.11666667,0.79,4
10.2,0.77,4
10.42222222,0.62,4
9.911111111,0.66,4
11.18333333,0.8,4
7.155555556,0.79,4
6.111111111,0.82,4
6.788888889,0.83,4
7.261111111,0.85,4
7.8,0.83,4
9.872222222,0.78,4
12.22222222,0.72,4
15.09444444,0.61,4
17.35555556,0.52,4
19.00555556,0.46,4
20.04444444,0.4,4
21.05,0.4,4
21.18333333,0.37,4
20.11666667,0.4,4
20.21666667,0.36,4
20,0.43,4
17.8,0.5,4
16.06111111,0.53,4
15.02222222,0.55,4
14.42222222,0.58,4
14.25555556,0.59,4
13.77222222,0.6,4
13.28333333,0.63,4
8.633333333,0.87,4
11.25,0.83,4
11.18333333,0.89,4
10.69444444,0.95,4
11.11111111,0.93,4
11.11111111,0.93,4
12.16666667,0.82,4
12.75555556,0.79,4
13.83888889,0.84,4
16.18333333,0.73,4
17.51666667,0.67,4
17.38333333,0.67,4
17.36111111,0.71,4
17.20555556,0.74,4
15.63333333,0.81,4
13.57777778,0.9,4
10.91111111,0.86,4
8.8,0.99,4
8.961111111,0.93,4
8.2,0.96,4
7.688888889,0.96,4
7.766666667,0.96,4
8.2,0.96,4
8.177777778,0.93,4
7.311111111,0.82,4
7.644444444,0.93,4
6.622222222,0.93,4
6.683333333,0.93,4
6.088888889,0.93,4
6.066666667,0.93,4
6.144444444,0.93,4
7.133333333,0.8,4
7.205555556,0.86,4
7.566666667,0.84,4
8.9,0.77,4
9.961111111,0.71,4
9.888888889,0.71,4
11.06666667,0.71,4
10.11666667,0.76,4
11.03888889,0.66,4
10.65,0.7,4
10.05,0.7,4
9.9,0.66,4
8.794444444,0.71,4
7.827777778,0.72,4
7.855555556,0.72,4
7.316666667,0.75,4
7.244444444,0.75,4
5.438888889,0.88,4
7.2,0.76,4
6.688888889,0.7,4
6.211111111,0.73,4
6.111111111,0.76,4
6.111111111,0.76,4
6.172222222,0.76,4
7.222222222,0.71,4
7.288888889,0.73,4
7.405555556,0.72,4
7.961111111,0.7,4
8.033333333,0.7,4
9.077777778,0.65,4
9.05,0.62,4
9.05,0.65,4
9.183333333,0.65,4
9.072222222,0.7,4
7.983333333,0.75,4
8.072222222,0.75,4
7.894444444,0.82,4
7.311111111,0.83,4
7.338888889,0.84,4
6.622222222,0.85,4
6.066666667,0.88,4
8.338888889,0.88,4
5.183333333,0.91,4
3.722222222,0.94,4
4.855555556,0.93,4
5.211111111,0.92,4
6.255555556,0.92,4
7.794444444,0.87,4
10.05,0.76,4
12.2,0.66,4
12.7,0.63,4
13.93333333,0.58,4
15.09444444,0.59,4
15.15,0.5,4
16.17777778,0.44,4
16.25,0.55,4
16.29444444,0.5,4
16.1,0.56,4
12.95555556,0.68,4
13.85,0.64,4
12.77777778,0.69,4
12.15,0.72,4
10.67777778,0.81,4
10.44444444,0.83,4
9.822222222,0.8,4
11.02777778,0.74,4
7.138888889,0.93,4
7.622222222,0.89,4
7.627777778,0.86,4
7.044444444,0.86,4
8.6,0.84,4
9.65,0.84,4
12.10555556,0.72,4
12.77777778,0.71,4
13.81111111,0.65,4
16.01666667,0.48,4
17.12777778,0.47,4
17.14444444,0.43,4
17.77777778,0.4,4
17.77777778,0.37,4
17.80555556,0.43,4
16.15555556,0.52,4
14.05,0.63,4
13.08888889,0.67,4
12.28888889,0.72,4
12.77777778,0.66,4
12.72777778,0.67,4
12.26666667,0.69,4
11.71111111,0.71,4
10.82777778,0.86,4
12.2,0.59,4
12.2,0.6,4
11.68888889,0.68,4
11.20555556,0.77,4
11.13333333,0.77,4
11.43888889,0.77,4
13.03333333,0.81,4
17.24444444,0.62,4
17.73888889,0.53,4
17.84444444,0.56,4
18.86111111,0.56,4
18.66666667,0.56,4
17.82222222,0.56,4
17.8,0.59,4
17.35,0.57,4
16.06666667,0.67,4
14.93333333,0.73,4
13.92222222,0.78,4
12.75555556,0.84,4
12.75555556,0.84,4
12.37222222,0.86,4
11.18333333,0.93,4
11.66666667,0.9,4
8.977777778,0.95,4
10.57777778,0.93,4
10.53333333,0.89,4
10.58888889,0.87,4
9.983333333,0.89,4
11.02222222,0.86,4
13.53888889,0.75,4
13.88888889,0.68,4
15,0.67,4
17.18333333,0.57,4
16.2,0.62,4
17.75,0.56,4
18.40555556,0.54,4
17.82222222,0.59,4
17.31111111,0.57,4
17.50555556,0.55,4
17.26666667,0.54,4
15.13888889,0.61,4
13.25,0.69,4
12.29444444,0.72,4
10.7,0.79,4
9.855555556,0.85,4
9.522222222,0.88,4
8.405555556,0.92,4
13.01111111,0.82,4
7.733333333,0.96,4
6.138888889,0.96,4
6.472222222,0.95,4
6.627777778,0.96,4
8.688888889,0.93,4
11.99444444,0.81,4
13.76666667,0.78,4
15.08888889,0.77,4
16.45555556,0.68,4
17.31111111,0.62,4
17.87222222,0.64,4
19.03888889,0.47,4
18.97777778,0.51,4
19.00555556,0.55,4
19.01111111,0.53,4
17.86666667,0.64,4
17.26666667,0.62,4
16.18888889,0.61,4
14.88333333,0.72,4
14.32777778,0.75,4
14.51111111,0.75,4
14.37222222,0.75,4
14.87777778,0.72,4
10.40555556,0.92,4
12.82222222,0.83,4
12.8,0.85,4
12.82777778,0.86,4
12.26666667,0.85,4
12.26666667,0.85,4
12.18333333,0.82,4
12.17222222,0.8,4
12.71111111,0.83,4
15.60555556,0.78,4
16.02222222,0.78,4
17.2,0.67,4
17.21666667,0.71,4
17.82777778,0.69,4
17.82777778,0.69,4
17.73333333,0.69,4
16.27222222,0.71,4
13.16666667,0.93,4
13.25555556,0.93,4
13.01111111,0.93,4
12.45555556,0.91,4
12.48888889,0.9,4
9.555555556,0.8,4
10.62222222,0.79,4
8.722222222,0.93,4
10.53333333,0.77,4
9.444444444,0.83,4
9.888888889,0.83,4
10.36666667,0.78,4
8.888888889,0.89,4
9.977777778,0.84,4
12.2,0.73,4
13.96111111,0.67,4
14.94444444,0.67,4
16.18333333,0.71,4
16.36666667,0.61,4
17.37222222,0.57,4
17.67222222,0.51,4
17.72222222,0.53,4
16.23888889,0.61,4
14.06666667,0.71,4
13.95555556,0.76,4
12.28888889,0.8,4
10.02222222,0.86,4
9.377777778,0.86,4
9.416666667,0.9,4
11.82777778,0.92,4
10.76111111,0.91,4
12.15555556,0.95,4
9.672222222,0.94,4
8.15,0.94,4
10.2,0.95,4
10.11666667,0.99,4
10.16111111,0.99,4
11.24444444,0.98,4
12.24444444,0.99,4
13.91111111,0.92,4
15.61666667,0.82,4
15.07222222,0.86,4
15.07222222,0.82,4
14.26666667,0.87,4
16.01666667,0.81,4
15.02777778,0.86,4
13.94444444,0.89,4
12.91666667,0.95,4
12.89444444,0.95,4
12.4,0.98,4
12.26666667,0.99,4
12.22222222,0.96,4
11.25,0.96,4
11.52777778,0.96,4
11.53888889,0.96,4
9.438888889,0.96,4
11.43888889,0.96,4
11.39444444,0.96,4
11.52777778,0.96,4
11.95,0.93,4
11.97222222,1,4
12.63333333,0.96,4
12.75555556,0.96,4
13.84444444,0.9,4
13.17222222,0.94,4
15.06666667,0.86,4
17.24444444,0.75,4
16.31666667,0.76,4
17.38333333,0.74,4
15.27222222,0.76,4
17.45555556,0.72,4
16.22222222,0.77,4
15.08333333,0.82,4
13.99444444,0.88,4
12.17222222,0.92,4
11.08888889,0.95,4
